name,category,latitude,longitude,wiki_title,monthly_views
Patron Gallery,Museums & Galleries,41.8962527,-87.6679627,ARC Gallery,28.076923076923077
Color Factory,Museums & Galleries,41.8783753,-87.6358062,,
Iarca,Museums & Galleries,41.8801592,-87.6246747,,
La Grange Park Fire History Museum,Museums & Galleries,41.8229896,-87.8732415,,
Legendary Art Gallery,Museums & Galleries,41.8809718,-87.6869509,,
DragonFLY Gallert & Creative Spaces,Museums & Galleries,41.8813155,-87.6878952,,
Glass Curtain Gallery,Museums & Galleries,41.8689142,-87.6261147,,
Kavi Gupta Gallery,Museums & Galleries,41.8861536,-87.6585504,,
Povos,Museums & Galleries,41.8959014,-87.666475,,
Mana Contemporary,Museums & Galleries,41.8507188,-87.658207,,
A very Serious Gallery,Museums & Galleries,41.8939321,-87.6515368,Artemisia Gallery,37.15384615384615
Color Club,Museums & Galleries,41.9560508,-87.7229503,,
Ruschman,Museums & Galleries,41.9561052,-87.7229748,,
Children's Museum of Art and Social Justice,Museums & Galleries,41.8550932,-87.6463776,,
WNDR Museum,Museums & Galleries,41.880525,-87.6559982,,
M. LeBlanc,Museums & Galleries,41.924802,-87.7152147,,
The Haitian American Museum of Chicago,Museums & Galleries,41.9620679,-87.6662477,,
Julius Caesar Chicago,Museums & Galleries,41.8872905,-87.7093796,,
Chicago Maritime Museum,Museums & Galleries,41.8315361,-87.6566736,Chicago Maritime Museum,114.92307692307692
Nettie J. McKinnon Art Gallery,Museums & Galleries,41.8199214,-87.8806874,,
Ivory Gate Gallery,Museums & Galleries,41.9025711,-87.6266011,,
Zolla/Libermann Gallery,Museums & Galleries,41.8946075,-87.6365944,,
Willow Springs Historical Society,Museums & Galleries,41.742149,-87.8592244,,
SECRIST / BEACH,Museums & Galleries,41.8896198,-87.6722325,,
Chicago Board of Trade Building Museum,Museums & Galleries,41.8779887,-87.6320684,Chicago Board of Trade Building,2664.923076923077
Patient Info,Museums & Galleries,41.8977496,-87.6871153,,
Heritage Museum of Asian Art,Museums & Galleries,41.8305279,-87.6512007,,
Event Horizon Gallery & VR Lounge,Museums & Galleries,41.9822682,-87.6683469,,
Richardson Art Gallery,Museums & Galleries,41.9249194,-87.6551572,,
Fine Art Gallery,Museums & Galleries,41.8132923,-87.8784533,,
gallery 1871,Museums & Galleries,41.9152208,-87.6553058,,
Emily Oak Nature Center,Museums & Galleries,42.0218042,-87.7458133,,
Hyde Park Historical Society Museum,Museums & Galleries,41.7942738,-87.5875619,,
Columbia Yacht Club (MV Abegweit),Iconic Attractions,41.8839375,-87.6119816,MV Abegweit (1947),320.2307692307692
Walt Disney Birthplace House,Museums & Galleries,41.9206229,-87.733074,,
Ed Paschke Art Center,Museums & Galleries,41.9685131,-87.7621518,,
Adds Donna,Museums & Galleries,41.9103467,-87.7089028,,
North Park Village Nature Center,Museums & Galleries,41.9879654,-87.7243931,,
Fire Museum of Greater Chicago,Museums & Galleries,41.7987005,-87.6845337,,
Chicago Center for Green Technology,Museums & Galleries,41.8896579,-87.7008645,Chicago Center for Green Technology,35.69230769230769
National Cambodian Heritage Museum,Museums & Galleries,41.9683467,-87.6999538,,
Ridge Historical Society,Museums & Galleries,41.7002983,-87.6721123,,
Pilsen Art House,Museums & Galleries,41.8560624,-87.6708003,,
Edgewater Historical Society,Museums & Galleries,41.9796801,-87.6700187,,
African American Firefighters Museum,Museums & Galleries,41.7966895,-87.6237368,,
Gruen Gallery,Museums & Galleries,41.8958631,-87.6351366,,
Carl Hammer Gallery,Museums & Galleries,41.8959859,-87.6344572,,
Perimeter Gallery,Museums & Galleries,41.8958663,-87.6349157,,
Historic Pullman Foundation Exhibit Hall,Museums & Galleries,41.6913457,-87.6096951,,
Theaster Gates Studio,Museums & Galleries,41.7638728,-87.5936588,,
Hinsdale Historical Society,Museums & Galleries,41.8029308,-87.935091,,
Wildwood Nature Center,Museums & Galleries,42.0165458,-87.8595068,,
Little Red Schoolhouse Nature Center,Museums & Galleries,41.7090443,-87.8773348,,
Hal Tyrrell Trailside Museum of Natural History,Museums & Galleries,41.893247,-87.8262151,,
Casa Italia,Museums & Galleries,41.9010531,-87.8804172,,
Sagawau Environmental Learning Center,Museums & Galleries,41.6892713,-87.9257493,,
Oak Park River Forest Museum,Museums & Galleries,41.8877958,-87.7795049,,
16 Inch Softball Hall of Fame Museum,Museums & Galleries,41.8723575,-87.8152118,,
Elmhurst Art Museum,Museums & Galleries,41.8978837,-87.9431207,,
Flagg Creek Historical Museum,Museums & Galleries,41.7549288,-87.8957869,,
The Children's Museum in Oak Lawn,Museums & Galleries,41.7197074,-87.7476503,,
Lizzadro Museum of Lapidary Art,Museums & Galleries,41.8419517,-87.9499741,Lizzadro Museum of Lapidary Art,180.53846153846155
Elmhurst Historical Museum,Museums & Galleries,41.8988727,-87.9388433,,
Accelerator ArtSpace,Museums & Galleries,41.8990678,-87.9469371,,
Brookfield Historical Society,Museums & Galleries,41.8229286,-87.8425047,,
Graue House,Museums & Galleries,41.8199937,-87.927638,,
Fullersburg Woods Nature Education Center,Museums & Galleries,41.826661,-87.932191,,
Historical Society Oak Brook,Museums & Galleries,41.8328949,-87.9461065,,
Skokie Heritage Museum,Museums & Galleries,42.0271884,-87.7557384,,
Ekdahl House Museum,Museums & Galleries,41.8114687,-87.8982342,,
Pier Park,Zoos & Family,41.891616,-87.6072418,,
Farm-in-the-Zoo,Zoos & Family,41.917271,-87.633631,,
Pritzker Family Children's Zoo,Zoos & Family,41.9210569,-87.6351427,,
Arts of the Americas,Museums & Galleries,41.8789192,-87.6221416,,
Rice Amplitheater & Abbott Oceanarium,Zoos & Family,41.8676175,-87.6130862,,
Austin Gardens Environmental Education Center,Museums & Galleries,41.8894717,-87.8010301,,
In The Game - Hollywood Park,Zoos & Family,41.6561335,-87.7472995,,
La Grange Area Historical Society,Museums & Galleries,41.8054389,-87.8696915,,
Haunted Trails,Zoos & Family,41.749571,-87.7993111,,
Ford Calumet Environmental Center (FCEC),Museums & Galleries,41.6855199,-87.5732467,,
